ID,GlideNumber,Country,OtherCountry,long,lat,Area,Began,Ended,Validation,Dead,Displaced,MainCause,Severity
4735,,Peru,,-75.1489,-6.29384,659470.61,2019-03-29,2019-04-02,FloodList,0,150,Heavy Rain,1.0
4738,,Colombia,,-74.9996,5.21079,517907.89,2019-04-01,2019-04-20,FloodList,10,0,Torrential Rain,1.0
4760,,Colombia,,-73.8614,0.698152,193568.08,2019-06-21,2019-06-23,FloodList,2,0,Torrential Rain,1.0
4790,,Bahamas,USA,-78.4266,26.622,1721.4,2019-09-01,2019-09-04,FloodList,5,30000,Tropical Storm Dorian,2.0
4815,,Ecuador,,-76.8306,-1.5563,47965.6,2019-10-20,2019-11-06,FloodList,1,100,Heavy Rain,1.0
4821,,Colombia,,-75.2965,7.7648,66443.64,2019-10-28,2019-11-06,FloodLIst,0,8400,Heavy Rain,1.5
4839,,Peru,,-75.0739,-9.82611,206909.78,2020-01-01,2020-01-08,FloodList,0,150,Heavy Rain,1.5
4840,,Colombia,,-76.6822,6.78628,51192.41,2019-12-30,2020-01-05,FloodList,0,0,Heavy Rain,1.5
4853,,Peru,,-76.9791,-5.92065,322182.75,2019-12-15,2019-12-31,FloodList,0,100,Heavy Rain,1.0
4855,,Colombia,,-73.9604,3.49981,127300.56,2019-12-25,2019-12-27,FloodList,8,15,Torrential Rain,1.5
4856,,Peru,,-75.643,-9.73816,261687.68,2019-12-06,2019-12-14,FloodList,0,500,Heavy Rain,1.0
4857,,Colombia,,-77.3255,1.69119,50331.67,2019-12-06,2019-12-12,FloodList,0,0,Heavy Rain,1.0
4869,,Peru,,-71.2386,-14.5764,146371.91,2020-02-09,2020-02-18,FloodList,2,1600,Heavy Rain,1.5
4878,,Colombia,,-72.6243,6.44993,34354.65,2020-03-14,2020-03-16,FloodList,1,400,Torrential Rain,1.0
4890,,Colombia,,-76.8801,7.49274,22501.07,2020-04-01,2020-04-03,FloodList,0,500,Heavy Rain,1.0
4898,,Peru,,-76.8801,-7.01073,152175.01,2020-03-28,2020-04-02,FloodList,0,120,Heavy Rain,1.5
4918,,Ecuador,,-77.9936,-2.68377,24825.78,2020-05-16,2020-05-19,FloodList,2,15,Heavy Rain,1.0
4945,,Colombia,,-75.2965,3.46299,259423.03,2020-07-05,2020-07-18,FloodList,5,660,Heavy Rain,1.5
4956,,Haiti,Dominican Republic,-70.9046,18.9079,61964.98,2020-08-21,2020-08-25,FloodList,11,0,Tropical Storm Laura,2.0
4962,,USA,Haiti,-70.9417,19.5642,138227.84,2020-08-22,2020-08-30,FloodList,72,600000,Tropical Storm Laura,2.0
4978,,Colombia,,-74.2078,9.99546,37556.5,2020-10-20,2020-11-09,FloodList,0,3000,Heavy Rain,1.5
4987,,Colombia,,-74.8759,8.55756,237001.31,2020-11-13,2020-11-23,FloodList,2,2000,Heavy Rain,1.5
4997,,Ecuador,,-78.5132,-2.27455,31228.69,2020-12-25,2020-12-29,FloodList,0,0,Heavy Rain,1.0
5021,,Chile,,-71.3871,-35.3275,93471.22,2021-01-29,2021-02-03,FloodList,0,521,Heavy Rain,1.5
5042,,Peru,,-79.7133,-5.5655,55124.61,2021-03-02,2021-03-05,FloodList,0,100,Torrential Rain,1.5
5043,,Peru,,-70.7561,-12.066,99072.96,2021-02-23,2021-03-01,FloodList,0,4000,Heavy Rain,1.5
5048,,Colombia,,-76.4224,7.30687,5150.18,2021-03-22,2021-03-23,FloodList,0,0,Torrential Rain,1.5
5050,,Haiti,,-72.3521,18.9203,11054.93,2021-04-02,2021-04-07,FloodList,3,750,Heavy Rain,1.5
5051,,Colombia,,-73.0201,1.66438,257391.9,2021-04-01,2021-04-06,FloodList,3,0,Heavy Rain,1.0
5054,,Peru,,-74.4553,-3.02046,252707.23,2021-04-01,2021-04-15,FloodList,0,0,Heavy Rain,1.0
5060,,Colombia,,-77.7214,2.28697,11140.33,2021-04-21,2021-04-30,FloodList,0,0,Heavy Rain,1.5
5078,,Chile,,-72.2778,-37.8809,18989.67,2021-06-01,2021-06-02,FloodList,0,36,Torrential Rain,1.5
5087,,Guyana,Suriname,-58.9658,5.15327,170318.02,2021-05-15,2021-06-18,FloodList,0,0,Heavy Rain,1.0
5109,,Colombia,,-72.5748,3.22666,50656.99,2021-08-13,2021-08-17,FloodList,3,100,Heavy Rain,1.0
5114,,Haiti,,-73.0696,18.4744,10341.15,2021-08-16,2021-08-17,News Media,0,0,Tropical Storm Grace,1.5
5120,,Colombia,,-75.8904,9.00464,46072.5,2021-09-05,2021-09-26,FloodList,0,6000,Heavy Rain,1.0
